,AUSQUEST 22/11/02   251102,Location,Al2O3,CaO,Fe2O3,K2O,MgO,MnO,Na2O,P2O5,SO3,SiO2,TiO2,LOI,Total,From,To,ELEMENTS,Ba,Ce,Co,Cr,Cu,Dy,Er,Eu,Gd,Hf,Ho,La,Lu,Nb,Nd,Ni,Pr,Rb,Sm,Sr,Ta,Tb,Th,Tm,U,V,Y,Yb,Zn,Zr
0,414001,ANT001,14.99,7.88,10.42,1.72,5.1,0.19,3.33,0.15,0.06,52.71,1.28,1.65,99.4,104.3,104.5,414001,311.4,44.11,37.0,85.0,49.0,6.03,3.33,1.38,5.18,4.45,1.17,20.5,0.452,9.45,20.85,50.0,5.272,65.45,4.82,160.0,0.92,0.917,7.85,0.5,1.23,262.0,29.1,3.18,87.0,160.9
1,414002,ANT001,15.46,8.17,9.32,1.7,5.04,0.13,3.03,0.14,0.14,54.9,0.98,1.24,100.2,149.5,149.7,414002,303.6,46.34,30.0,134.0,38.0,5.6,3.16,1.26,4.98,4.05,1.08,22.02,0.435,8.77,20.94,70.0,5.327,77.02,4.61,159.0,0.8,0.83,9.59,0.45,1.7,187.0,27.75,2.91,97.0,153.0
2,414003,ANT001,14.23,7.13,9.57,1.95,4.98,0.15,3.46,0.16,0.01,55.66,1.07,1.37,99.8,198.65,198.85,414003,340.0,53.52,32.0,113.0,71.0,6.52,3.67,1.32,5.96,4.74,1.26,25.51,0.482,9.87,24.45,49.0,6.225,87.09,5.46,146.0,0.9,1.015,11.2,0.53,2.07,200.0,30.4,3.34,105.0,169.7
3,414004,ANT001,15.67,9.02,9.25,1.54,5.01,0.14,2.48,0.14,0.02,54.51,1.02,0.85,99.7,250.25,250.45,414004,303.1,46.22,32.0,125.0,57.0,5.78,3.11,1.27,5.04,4.17,1.07,21.87,0.433,8.73,21.43,47.0,5.45,69.49,4.77,161.0,0.73,0.877,9.24,0.47,1.56,188.0,27.9,2.97,87.0,151.5
4,414005,ANT001,14.23,6.92,11.22,2.27,5.08,0.18,4.33,0.16,0.05,52.66,1.35,1.5,99.9,308.4,308.65,414005,359.8,46.32,37.0,69.0,41.0,6.68,3.67,1.53,5.53,4.76,1.25,21.95,0.514,9.16,22.47,43.0,5.549,97.61,5.15,147.0,0.68,0.969,8.15,0.54,1.35,287.0,31.3,3.48,74.0,173.7
5,414006,ANT001,13.4,6.04,12.4,1.49,3.95,0.17,4.74,0.13,0.06,54.58,1.43,1.62,100.0,348.7,348.9,414006,315.9,49.2,40.0,19.0,27.0,6.23,3.44,1.3,5.5,4.47,1.19,22.83,0.46,9.03,22.51,20.0,5.634,64.03,5.24,158.0,0.74,0.926,11.67,0.5,1.83,359.0,30.22,3.16,91.0,150.5
6,414007,ANT001,14.22,6.96,11.23,1.56,5.55,0.16,4.94,0.1,0.75,52.54,1.11,1.93,100.3,395.05,395.25,414007,245.7,34.38,41.0,71.0,52.0,4.97,2.82,1.16,4.39,3.24,0.98,15.97,0.384,6.84,16.9,46.0,4.121,73.08,3.88,139.0,0.59,0.748,8.14,0.4,1.3,292.0,24.55,2.63,85.0,114.4
7,414008,ANT001,12.73,7.5,13.09,1.65,4.04,0.18,4.71,0.17,3.24,50.96,1.48,2.82,99.3,415.8,416.0,414008,240.8,51.44,39.0,18.0,36.0,6.99,3.84,1.51,6.12,4.6,1.34,24.07,0.509,10.09,24.2,17.0,6.087,60.08,5.55,144.0,0.71,1.046,9.85,0.57,1.63,302.0,33.8,3.73,69.0,166.2
8,414009,ANT001,13.46,7.29,13.25,1.77,4.41,0.2,3.72,0.17,0.22,52.88,1.48,1.41,100.0,450.2,450.4,414009,252.0,50.61,42.0,24.0,62.0,7.11,3.85,1.54,6.29,4.55,1.35,23.73,0.513,9.88,24.2,21.0,6.012,73.48,5.51,123.0,0.7,1.07,9.27,0.57,1.58,309.0,33.7,3.56,147.0,164.6
9,414010,ANT001,13.31,7.26,13.63,1.78,4.26,0.2,3.34,0.18,0.68,53.03,1.55,1.24,99.8,465.6,465.8,414010,285.7,54.18,40.0,16.0,27.0,7.3,4.06,1.65,6.38,5.02,1.4,25.26,0.534,10.66,25.72,16.0,6.396,60.78,5.87,140.0,0.78,1.098,10.09,0.59,1.79,311.0,35.58,3.73,115.0,177.6
10,414011,ANT001,13.27,6.76,13.68,1.95,4.04,0.2,4.17,0.19,0.34,53.23,1.59,1.39,100.5,432.7,432.9,414011,262.0,54.07,41.0,20.0,57.0,7.5,4.29,1.6,6.63,5.05,1.43,24.94,0.569,10.86,26.24,20.0,6.472,84.98,5.97,101.0,0.75,1.109,9.99,0.61,1.67,316.0,36.76,3.88,128.0,177.8
11,414017,ANT002,14.72,6.29,10.85,1.87,5.7,0.16,4.44,0.14,0.01,52.46,1.25,2.13,100.0,117.95,118.15,414017,256.5,40.58,36.0,84.0,32.0,5.54,3.2,1.34,4.93,3.94,1.07,19.03,0.425,7.58,19.63,47.0,4.8,63.46,4.47,151.0,0.57,0.848,6.88,0.47,1.12,262.0,27.84,2.99,85.0,145.7
12,414018,ANT002,15.51,7.61,9.26,1.84,4.35,0.13,3.29,0.15,0.02,55.48,1.07,1.62,100.3,157.8,158.0,414018,322.2,50.04,28.0,85.0,22.0,6.01,3.34,1.3,5.43,4.55,1.17,23.9,0.469,8.86,23.44,42.0,5.861,82.04,5.15,162.0,0.71,0.906,10.64,0.5,1.89,180.0,29.69,3.24,72.0,165.0
13,414019,ANT002,14.31,7.77,9.34,1.85,5.05,0.15,3.09,0.14,0.01,55.57,0.99,1.6,99.9,179.4,179.6,414019,321.0,51.09,29.0,121.0,41.0,5.9,3.35,1.32,5.48,4.4,1.17,25.05,0.456,8.44,23.21,48.0,5.909,84.46,5.16,146.0,0.67,0.915,10.57,0.51,1.96,177.0,29.77,3.16,79.0,160.5
14,414020,ANT002,14.73,7.43,9.05,1.95,4.63,0.16,3.05,0.15,0.02,56.31,0.95,1.5,99.9,201.75,201.95,414020,337.4,52.15,29.0,121.0,42.0,6.1,3.31,1.31,5.45,4.47,1.14,25.61,0.461,9.85,23.65,48.0,6.176,90.99,5.22,145.0,0.73,0.914,11.56,0.49,2.1,174.0,29.56,3.19,73.0,167.0
15,414021,ANT002,15.12,8.35,8.61,1.57,6.02,0.14,2.69,0.12,,55.61,0.83,1.13,100.2,224.8,225.0,414021,281.0,45.04,30.0,188.0,38.0,5.15,2.86,1.19,4.71,4.04,0.99,21.06,0.395,8.09,20.22,57.0,5.143,71.72,4.54,144.0,0.64,0.83,9.51,0.43,1.76,165.0,25.99,2.77,70.0,143.4
16,414022,ANT002,15.57,9.71,10.47,1.14,6.11,0.15,2.36,0.13,,52.51,1.09,0.35,99.6,247.5,247.7,414022,279.5,43.66,32.0,151.0,33.0,5.54,3.11,1.22,5.03,4.0,1.07,20.93,0.428,8.12,20.21,61.0,5.169,69.19,4.56,153.0,0.65,0.84,9.19,0.45,1.68,194.0,27.12,2.89,72.0,143.2
17,414023,ANT002,15.49,9.71,10.43,1.14,6.12,0.15,2.39,0.13,,52.51,1.08,0.41,99.6,274.0,274.2,414023,262.9,36.78,39.0,111.0,37.0,5.01,2.96,1.18,4.36,3.67,1.0,16.97,0.395,7.08,17.79,61.0,4.267,46.8,4.11,168.0,0.53,0.769,6.13,0.43,1.0,239.0,26.37,2.79,87.0,134.0
18,414024,ANT002,15.03,9.41,11.03,1.29,5.68,0.17,2.44,0.15,0.03,52.94,1.23,0.4,99.8,302.4,302.6,414024,273.1,40.61,37.0,93.0,40.0,5.66,3.2,1.33,4.95,3.88,1.11,19.13,0.454,7.7,19.4,52.0,4.819,49.81,4.53,169.0,0.54,0.85,6.76,0.45,1.08,257.0,28.34,2.98,79.0,141.8
19,414025,ANT002,14.17,6.83,11.33,1.81,5.32,0.2,4.27,0.17,0.44,52.92,1.37,1.7,100.1,327.4,327.6,414025,280.8,43.86,36.0,62.0,42.0,6.38,3.59,1.4,5.66,4.7,1.26,20.04,0.504,8.92,21.88,40.0,5.254,58.09,5.08,147.0,0.64,0.947,8.17,0.53,1.31,270.0,30.83,3.37,76.0,169.4
20,414026,ANT002,14.23,4.88,11.64,3.23,4.95,0.25,4.46,0.17,0.35,53.25,1.32,1.58,100.0,334.0,334.2,414026,326.2,54.95,37.0,71.0,56.0,5.9,3.42,1.37,5.44,4.22,1.15,27.24,0.453,8.73,24.01,38.0,6.22,78.53,5.18,233.0,0.98,0.923,9.53,0.48,1.59,287.0,29.37,3.09,81.0,145.0
21,414027,ANT002,14.01,4.71,10.98,1.7,6.69,0.27,5.06,0.11,0.02,52.7,1.05,2.56,99.9,349.8,350.0,414027,135.9,32.23,39.0,61.0,23.0,4.66,2.57,1.02,3.98,3.02,0.9,14.46,0.375,6.13,15.61,48.0,3.793,31.6,3.67,238.0,0.48,0.682,7.48,0.38,1.31,278.0,22.26,2.48,126.0,106.1
22,414028,ANT002,14.3,7.16,11.46,1.8,5.67,0.17,3.73,0.11,0.29,52.99,1.16,1.57,100.1,379.5,379.7,414028,241.7,38.75,40.0,54.0,52.0,5.34,2.95,1.18,4.43,3.29,1.02,18.99,0.398,6.98,18.05,36.0,4.625,78.22,4.2,157.0,0.58,0.763,8.67,0.44,1.52,303.0,25.85,2.71,90.0,119.2
23,414029,ANT002,14.26,8.82,11.34,1.37,5.67,0.18,2.7,0.11,0.33,53.24,1.1,0.77,99.6,404.05,405.2,414029,216.1,37.19,41.0,68.0,58.0,4.89,2.86,1.1,4.42,3.23,0.96,17.46,0.372,6.61,16.94,44.0,4.207,58.96,3.89,148.0,0.52,0.745,8.05,0.42,1.45,292.0,24.52,2.59,83.0,110.2
24,414030,ANT002,13.82,3.6,12.32,3.0,6.16,0.21,4.22,0.14,0.26,51.41,1.43,3.14,99.5,416.4,416.6,414030,196.1,43.3,42.0,32.0,26.0,6.39,3.54,1.29,5.4,4.11,1.28,19.95,0.479,8.46,20.78,27.0,5.165,85.86,4.84,98.0,0.63,0.948,10.82,0.52,1.98,384.0,30.92,3.32,271.0,141.8
25,414031,ANT002,14.03,4.57,12.8,1.8,5.67,0.15,4.71,0.13,0.09,52.56,1.43,2.31,100.2,431.2,431.4,414031,205.4,47.75,42.0,34.0,53.0,6.16,3.58,1.36,5.51,4.08,1.18,22.86,0.478,8.16,22.35,28.0,5.576,61.29,5.0,152.0,0.63,0.911,10.55,0.51,1.9,383.0,30.62,3.23,111.0,140.3
26,414032,ANT002,13.2,7.22,13.17,1.2,4.46,0.17,4.9,0.17,1.45,51.61,1.46,2.57,100.2,465.7,465.85,414032,214.5,47.87,40.0,24.0,67.0,6.69,3.92,1.5,6.09,4.6,1.32,21.76,0.515,9.38,23.11,22.0,5.668,35.71,5.29,143.0,0.69,1.02,8.91,0.57,1.43,305.0,33.35,3.54,91.0,160.9
27,414033,ANT002,13.45,7.53,13.42,1.6,4.44,0.2,3.38,0.17,0.2,52.64,1.49,1.55,99.9,499.0,499.2,414033,263.1,49.91,42.0,19.0,22.0,7.15,3.86,1.55,6.19,4.68,1.33,23.65,0.55,9.93,24.47,20.0,5.968,71.97,5.53,126.0,1.08,1.053,9.2,0.56,1.54,306.0,34.49,3.67,107.0,164.8
28,414034,ANT002,13.63,8.37,13.49,1.44,4.6,0.18,2.77,0.18,0.04,53.39,1.52,0.69,100.3,529.0,529.2,414034,260.7,50.57,40.0,22.0,23.0,7.19,3.92,1.56,6.33,4.76,1.4,23.98,0.562,10.16,24.6,21.0,6.079,62.26,5.77,145.0,0.68,1.118,9.56,0.59,1.7,306.0,35.3,3.67,88.0,168.1
