METHOD,,,X408,X408,X408,X408,X408,X408,X408,X408,X408,X408,X408,X408,X408
LDETECTION,,,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,0.05,0.01,0.01,0.1
UDETECTION,,,0,0,0,0,0,0,0,0,0,0,0,0,120
UNITS,,,%,%,%,%,%,%,%,%,%,%,%,%,%
sample numbers,Location,Interval,Al2O3,CaO,Fe2O3,K2O,MgO,MnO,Na2O,P2O5,SO3,SiO2,TiO2,LOI,Total
414001,DH1,104.3-104.5,14.99,7.88,10.42,1.72,5.1,0.19,3.33,0.15,x.06,52.71,1.28,1.65,99.4
414002,DH1,149.5-149.7,15.46,8.17,9.32,1.7,5.04,0.13,3.03,0.14,0.14,54.9,0.98,1.24,100.2
414003,DH1,198.65-198.85,14.23,7.13,9.57,1.95,4.98,0.15,3.46,0.16,0.14,55.66,1.07,1.37,99.8
414004,DH1,250.25-250.45,15.67,9.02,9.25,1.54,5.01,0.14,2.48,0.14,0.02,54.51,1.02,0.85,99.7
414005,DH1,308.4-308.65,14.23,6.92,11.22,2.27,5.08,0.18,4.33,0.16,0.05,52.66,1.35,1.5,99.9
414006,DH1,348.7-348.9,13.4,6.04,12.4,1.49,3.95,0.17,4.74,0.13,0.06,54.58,1.43,1.62,100
414007,DH1,395.05-395.25,14.22,6.96,11.23,1.56,5.55,0.16,4.94,0.1,0.75,52.54,1.11,1.93,100.3
414008,DH1,415.8-416.0,12.73,7.5,13.09,1.65,4.04,0.18,4.71,0.17,3.24,50.96,1.48,2.82,99.3
414009,DH1,450.2-450.4,13.46,7.29,13.25,1.77,4.41,0.2,3.72,0.17,0.22,52.88,1.48,1.41,100
414010,DH1,465.6-465.8,13.31,7.26,13.63,1.78,4.26,0.2,3.34,0.18,0.68,53.03,1.55,1.24,99.8
414011,DH1,475.8-476.0,13.27,6.76,13.68,1.95,4.04,0.2,4.17,0.19,0.34,53.23,1.59,1.39,100.5
414017,DH2,117.95-118.15,14.72,6.29,10.85,1.87,5.7,0.16,4.44,0.14,0.01,52.46,1.25,2.13,100
414018,DH2,157.8-158.0,15.51,7.61,9.26,1.84,4.35,0.13,3.29,0.15,0.02,55.48,1.07,1.62,100.3
414019,DH2,179.4-179.6,14.31,7.77,9.34,1.85,5.05,0.15,3.09,0.14,0.01,55.57,0.99,1.6,99.9
414020,DH2,201.75-201.95,14.73,7.43,9.05,1.95,4.63,0.16,3.05,0.15,0.02,56.31,0.95,1.5,99.9
414021,DH2,224.8-225.0,15.12,8.35,8.61,1.57,6.02,0.14,2.69,0.12,0.02,55.61,0.83,1.13,100.2
414022,DH2,247.5-247.7,15.57,9.71,10.47,1.14,6.11,0.15,2.36,0.13,0.02,52.51,1.09,0.35,99.6
414023,DH2,274.0-274.2,15.49,9.71,10.43,1.14,6.12,0.15,2.39,0.13,0.02,52.51,1.08,0.41,99.6
414024,DH2,302.4-302.6,15.03,9.41,11.03,1.29,5.68,0.17,2.44,0.15,0.03,52.94,1.23,0.4,99.8
414025,DH2,327.4-327.6,14.17,6.83,11.33,1.81,5.32,0.2,4.27,0.17,0.44,52.92,1.37,1.7,100.1
414026,DH2,334.0-334.2,14.23,4.88,11.64,3.23,4.95,0.25,4.46,0.17,0.35,53.25,1.32,1.58,100
414027,DH2,349.8-350.0,14.01,4.71,10.98,1.7,6.69,0.27,5.06,0.11,0.02,52.7,1.05,2.56,99.9
414028,DH2,379.5-379.7,14.3,7.16,11.46,1.8,5.67,0.17,3.73,0.11,0.29,52.99,1.16,1.57,100.1
414029,DH2,404.05-405.2,14.26,8.82,11.34,1.37,5.67,0.18,2.7,0.11,0.33,53.24,1.1,0.77,99.6
414030,DH2,416.4-416.6,13.82,3.6,12.32,3,6.16,0.21,4.22,0.14,0.26,51.41,1.43,3.14,99.5
414031,DH2,431.2-431.4,14.03,4.57,12.8,1.8,5.67,0.15,4.71,0.13,0.09,52.56,1.43,2.31,100.2
414032,DH2,465.7-465.85,13.2,7.22,13.17,1.2,4.46,0.17,4.9,0.17,1.45,51.61,1.46,2.57,100.2
414033,DH2,499.0-499.2,13.45,7.53,13.42,1.6,4.44,0.2,3.38,0.17,0.2,52.64,1.49,1.55,99.9
414034,DH2,529.0-529.2,13.63,8.37,13.49,1.44,4.6,0.18,2.77,0.18,0.04,53.39,1.52,0.69,100.3
